"","doc_id_number","text"
"1991",2004712,"Title: Nepalese security forces foil Maoist attempt to disrupt mobile camp.rtf; Date: February 13, 2004, Friday; Text: Excerpt from report by Nepalese newspaper Kantipur on 13 February
 Fungling, Taplejung, east Nepal , 12 February: A Maoist attempt to disturb a mobile camp by exploding bombs and terrorizing people failed at Hampang village in the district. Altogether 5,730 people benefited from services provided by the government at the camp. The Royal Nepal Army said Maoists exploded bombs directed at security personnel.  passage omitted
Kantipur, Kathmandu, in Nepali 13 Feb 04, p 5
Load-Date: February 13, 2004
End of Document"
"3936",20053292,"Title: Nepal paper reports on Maoist unrest.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: November 12, 2005 Saturday
Excerpt from report by Nepalese state-owned newspaper Gorkhapatra on 12 November
Gaighat [east Nepal], 11 November: Maoist terrorists have brutally killed a woman of Simpani Village Development Committee (VDC) in Khotang district [east Nepal]. 
According to the Sagarmatha Zonal Administration in Gaighat [Udaypur district], a group of terrorists numbering 10-12 on Sunday [6 November] night killed Nirmala Khadka (Basnet), a 46-year-old mother of five, and buried her body beside the sewerage of the house of former VDC chairman Parshuram Rai in Simpani. [passage omitted]
The office has also informed that local residents, in protest against the killing, have held a rally against the terrorists and a protest assembly in Simpani bazaar. They have declared six VDCs [village development committees] in the area, including Simpani, as ""terrorists prohibited areas"". [passage omitted: names of the other VDCs]
Meanwhile, terrorists on Thursday morning abducted two teachers - one male and one female - along with a nine-month-old baby from Chyanam VDC-5 in Okhaldhunga district [east Nepal], said the office. [passage omitted: names of abductees, details of abduction. Police are searching for the abductees.]
Source: Gorkhapatra, Kathmandu, in Nepali 12 Nov 05, p 3
Load-Date: November 12, 2005
End of Document"
"529",20032452,"Title: Nepal extends curfews amid new violence after Maoists end truce.rtf; Date: August 31, 2003 Sunday; Text: Nepal's government extended curfews and deployed armed guards for political leaders as Maoist rebels and soldiers fought two deadly clashes, days after the peace process collapsed, officials said Sunday.
Rebels ambushed an army patrol Sunday at Melarani village in Surkhet district, 480 kilometers (300 miles) southwest of Kathmandu, triggering a daylong gunbattle, an army official said.
""Our preliminary reports are that seven Maoists and three soldiers were killed,"" the official said.
He said a similar clash Saturday in the southeastern Udaipur district left two Maoists dead and three soldiers wounded.
Fourteen of Nepal's 75 districts are now under dawn-to-dusk curfew after nine more districts were added Saturday, amid fears the isolated Maoist attacks could give way to nationwide fighting.
""The number of districts coming under curfew is increasing every day and a curfew could even be imposed in the Kathmandu Valley if the Maoists resume their subversive activities,"" home ministry spokesman Gopendra Bahadur Pandey said.
The Maoists on Wednesday walked out of a seven-month ceasefire and peace talks after the government refused to agree to an assembly to redraft the constitution.
Since their withdrawal from the truce, the rebels have been blamed for a series of assassination bids against prominent political figures, both from the current government and previous ones.
In response, the government has authorised police protection for leading politicians, a member of Nepal's cabinet said.
Armed guards were seen Sunday guarding the Kathmandu offices of Nepal's two largest mainstream political parties, the Nepali Congress and the Nepal Communist Party-United Marxist and Leninist.
Prime Minister Surya Bahadur Thapa met at the weekend with top leaders of his National Democratic Party to figure out the government's next move, with some aides urging him to call for a nationwide emergency that would allow security forces more leeway to preempt attacks.
The government has already renewed its classification of the Maoists as a terrorist group, which means rebel leaders could be arrested on sight.
The Maoists were taken off the terrorist list as a goodwill gesture when the ceasefire was reached in January.
Among the assassination bids blamed on the Maoists, an army colonel who was based at the royal palace was shot dead Thursday. One day later, former state minister for home affairs Devendra Raj Kandel was shot five times. Kandel's condition is improving, doctors said.
Last week gunmen ambushed the motorcade of former premier Sher Bahadur Deuba, who had led a crackdown on the rebels in late 2001 and 2002 after an earlier truce collapsed, but he was unhurt.
The Maoist leadership expressed ""sorrow"" over the incident in western Nepal, saying ""spies and security forces,"" not Deuba, were the target.
Suspected rebels also set fire to the ancestral home of Finance Minister Prakash Chandra Lohani, who led the government team in three rounds of peace talks, the last of which broke down August 19.
The Maoists launched a ""people's war"" in 1996 aimed at overthrowing the constitutional monarchy. The insurgency has claimed more than 7,800 lives.
kms/ss/sct/ec
Nepal-Maoist
Load-Date: September 1, 2003
End of Document"
"4377",20066472,"Title: American , Serbian asked to leave Maldives deny fomenting unrest.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: September 12, 2006 Tuesday
Text of report by Sri Lankan-based Maldivian Minivan News website on 12 September
Two foreign nationals were asked to leave the Maldives at the weekend, after officials accused them of ""undermining the national unity"" of the country.
But the men, an American and a Serbian, told Minivan News that they were simply on holiday in the Maldives and dismissed government allegations of wrongdoing.
They said that they had been ""politely asked"" to leave the Maldives by the authorities but stressed that they had not broken any laws and were not charged with any offence.
The men - both experts in non-violent resistance techniques - had been visiting Addu Atoll. They said that whilst on holiday they had ""exchanged ideas"" with opposition activists about how to conduct peaceful protests.
""I am from a country which was in a similar situation to the Maldives,"" said the Serbian man, who asked not to be named. ""I wasn't a member of OTPOR [anti-Milosevic movement], but I did work closely with them.""
""All over the world people are trying to figure out how to change their societies peacefully and without conflict... [ellipsis as published] and that can be a difficult thing to do,"" added the American man.
""In most countries - India, Nepal, Sri Lanka - it's normal for citizens to talk about the problems they face. But in some countries you are not allowed to talk about your problems. So these people need to learn how to work in an atmosphere of fear and how to bring that fear down.""
""If you can reduce fear on both side, then people can come to an agreement,"" the American said.
Controller of Immigration and prominent DRP [ruling party] Majlis [parliament] member Ibrahim Shafiu told Haveeru [Daily] that the decision to ask the men to leave was taken because he had received reports alleging that the men had been briefing a gathering of youngsters in Addu on ''how to face the security forces and continue the recent acts of violence in the atoll''.
""We questioned them after bringing them to Immigrations,"" Shafiu said. ""They agreed that they had met groups of young people and given them such information. A condition for granting a tourist visa is that they could be expelled from the country if they did, or were suspected of doing, anything to undermine national and religious unity in the Maldives,'' he added.
Shafiu claimed that the men would not be subject to a full investigation ""so as not to waste time"".
But the American denied the allegations: ""We never did anything to bring instability into the country. We didn't break any laws. We are not members of OTPOR. We were not deported. We just exchanged ideas with people. A government official explained to us that Maldives is 'a democracy'. Yet, after that meeting we were constantly photographed and then we were politely asked to leave. The government said they were worried we were undermining the stability of the country but they didn't explain how.''
""The situation in the Maldives is very similar to the situation in Serbia before the fall of Milosevic,"" said the Serb. ""We were not advising the people of Addu of anything. But we did exchange ideas with them. I spoke about Serbia, and how we managed to change things through non-violent means.""
The Serb added: ""I said: we wouldn't have referred to the police as 'Golhaa Force' [""Golhaabo"" is a nickname for President Maumoon Abdul Gayoom] because the police are not the guilty ones. They are just doing their job. In Serbia, we did not go after our countrymen, our neighbours or our brothers. Instead, we talked to the police.""
""In Serbia, we never threw rocks at the police. It would have been the wrong thing to do. It's very important not to do that. Why, people may ask: 1) Because you'll lose - the police have all the weapons and training to fight violently; 2) It causes an increase in fear on both sides and makes a solution more difficult; and 3) the general public will not hear your political message, instead they'll just see the violence,"" the Serb continued.
""If one puts themselves in the position of the police, and you see a crowd running towards you throwing stones, you are likely to respond with violence,"" added the American.
""In Serbia, by acting peacefully we changed the behaviour of the police. The police realized that the people didn't want to fight with them - they only wanted things to change. The Serbian police were a very, very aggressive security force but they changed,"" said the Serb.
""In Maldives we saw that the people in the opposition had the energy and foresight to use non-violent methods. They are very patriotic and very proud of their country,"" said the American.
Source: Minivan News website, Colombo, in English 0000 gmt 12 Sep 06
Load-Date: September 12, 2006
End of Document"
"3747",2005923,"Title: Nepal appeals court upholds serial killer's life sentence.rtf; Date: August 5, 2005 Friday; Text: An appeals court in Nepal upheld a murder conviction and life sentence against a French serial killer known as ""The Serpent"" for the slaying of a backpacker 30 years ago, a court statement said Friday.
The Patan Appellate Court on Thursday rejected Charles Sobhraj's appeal against the December ruling that found him guilty of killing of a Western tourist in the Nepalese capital Katmandu in 1975, the statement said.
In his appeal, lawyers claimed Sobhraj, 59, was not in the country at the time of the murder.
Judges Krishna Shrestha and Atmaram Bhattarai said evidence presented in the case showed he was in Nepal and was sufficient to prove his guilt, the statement said.
Sobhraj's lawyer in Paris, Isabelle Coutant Peyre, said in a statement that she would ask French authorities to intervene. She also said she would inform the United Nations human rights committee of the decision, which she called ""a new Nepalese violation of all the international principles on judicial matters and fair trials.""
The Frenchman has in the past admitting to killing several Western tourists, and is believed to have killed at least 20 people in Afghanistan, India, Thailand, Turkey, Nepal, Iran and Hong Kong during the 1970s. He denied murder in last year's trial.
Sobhraj was held for two decades in New Delhi's maximum-security Tihar prison accused of murder, but was deported without charge to France in 1997.
He resurfaced in September 2003 in Katmandu, where he was arrested at a luxury casino.
His nickname stems from his reputation for being a talented disguise and escape artist.
Load-Date: August 6, 2005
End of Document"
"898",20031080,"Title: Extradition treaty to be discussed during Nepal prime minister's India visit.rtf; Date: November 18, 2003, Tuesday; Text: Text of report entitled: ""Prime minister's India visit from 23 November, extradition treaty to be main agenda for discussion"", published by Nepalese newspaper Spacetime on 18 November
 Regarding the revision of the present Nepal-India extradition treaty, government heads of both the countries are going to hold informal discussion in New Delhi.
 Prime Minister Surya Bahadur Thapa is going to New Delhi on Sunday 23 November in course of visiting the SAARC South Asian Association for Regional Cooperation countries.
Spacetime, Kathmandu, in Nepali 18 Nov 03 p 1A Foreign Ministry source said that apart from SAARC issues, there will be discussion on bilateral problems with India's initiation.
 The source said that the extradition treaty has been placed as the main topic in the Indian agenda presented for bilateral discussion. During the bilateral discussion to be held between Prime Minister Thapa and his Indian counterpart Atal Behari Vajpayee, along with the extradition treaty, terrorism control, border problems, army patrolling of both countries along the border, dry port operation, and transportation management are other main topics.
 Earlier there have been two foreign minister level talks but no concrete decision has been made on the extradition treaty. The Extradition Treaty Revision and Bilateral Legal Advisory Meeting had ended inclusively as the draft of the meeting contained a few proposals against international norms. Foreign Ministry officials have a suspicion that India wanted a prime minister-level informal discussion to ratify this. Regarding the treaty revision, there has already been agreement on most of the clauses but Nepal has been declining the Indian proposal about extraditing a third country citizen to India. Likewise there has not been agreement on another clause about permitting the security officials of one another's country to carry out investigation and arrest criminals in each other's country.
Load-Date: November 18, 2003
End of Document"
"4965",20063820,"Title: Nepal military, Maoists reportedly in three-hour clash.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: January 23, 2006 Monday
Text of report by Nepalese eKantipur.com website on 23 January
Kathmandu, 22 January: Clashes between security forces and Maoist rebels erupted at Khatrikhola, Shyangja in western Nepal Sunday [22 January]. According to our correspondent, the clash occurred in the area along Waling Municipality and Changchhangdi VDC [village development committee] in the district and lasted for about three hours this afternoon after the rebels attacked a joint team of the security personnel, who had gone to the area to clear the road blockades placed by the Maoists along the Siddhartha Highway.
The Maoists had put barricades from Ragdi and Kubinde of Palpa and Kaski districts respectively. One policeman was injured in the incident.
Meanwhile, the Maoists on Saturday exploded a powerful bomb at a civilian's house at Sahilek in Baitadi District. However, no one was hurt in the explosion. The rebels exploded the bomb at the residence of Harisingh Bhandari at Dashrathchand Municipality-1 yesterday night.
end
Source: eKantipur.com website, Kathmandu, in English 23 Jan 06
Load-Date: January 23, 2006
End of Document"
"6831",2008465,"Title: India loses four tiny lives every minute.rtf; Date: January 22, 2008 Tuesday 4:17 PM  EST; Text: NEW DELHI, India, Jan. 22 -- INDIA LOSES 5,753 children below five years every day - four a minute. That contributes to 21 per cent of total deaths in the world, said a UN report on children, released on Tuesday.
  Terming the figures scary, UNICEF representative in India Dr Gianni Murzi, said the country was caught in a paradox between poor child survival rate and 9 per cent economic growth. ""Time is full of promise for the Indian child if all unite to fight to this battle,"" he said.
  The UNICEF's State of World's Children Report 2008 said about 20 per cent of these children die within an hour of birth and another 30 per cent within 28 days. Pneumonia kills most children in India - about 2 million - followed by diarrhoea. Of those who survive, about 46 per cent are malnourished. ""Everyone, from the Prime Minister downwards, are worried,"" said Dr M.K. Bhan, secretary Department of Science and Technology, who wanted a national campaign to fight child malnourishment.
  India comes in at 49 among 191 nations on the under-five-mortality rate with Sierra Lone topping the ranks with maximum deaths and Sweden at the bottom with least. India's record is worse than its less developed neighbours Bangladesh and Nepal, who rank 55 and 63 respectively. India is better only than Pakistan, which has been ranked 42. South Asia is slightly better than west and central Africa, but lags behind all other regions.
  The Hindustan Times is provided through HT Syndication, New Delhi.
For any query with respect to this article or any other content requirement, please contact Editor at 
Load-Date: January 22, 2008
End of Document"
"6575",2008174,"Title: Around 100 Tibetan separatists detained in Nepali capital_2.rtf; Date: July 18, 2008 Friday 1:16 AM EST; Text: Nepali police on Friday  afternoon detained about 100 Tibetan separatists involved in  anti-China activities in the Nepali capital of Kathmandu. 
    The separatists tried to throng the visa office of the Chinese  Embassy beside a street choked with heavy traffic, shouting  anti-China and ""Tibet Independence"" slogans. 
    Nepali police blocked the rally, but some leaders of the  separatists climbed up onto the wall of a nearby cinema,  instigating the others to ignore the police's attempts at  dissuasion. 
    The traffic soon was jammed and the reinforcing traffic  policemen had to evacuate some vehicles on the one-way street. 
    Around 100 Tibetan separatists were detained, Kathmandu Police  Control Center told Xinhua. 
    The detainees are supposed to be released after questioning in  police stations. 
    Tibetan separatists are taking advantage of Nepal, the youngest  republic in the world, at its historic turning point, to carry out  anti-China activities. 
    Although Nepal was declared a republic on May 28 by its  Constituent Assembly, a republican government has yet to be  established. 
    The Nepali government has repeatedly said Tibet is an  inalienable part of China and it will not allow anti-China  activities on its territory. 
    Sarbendra Khanal, Metropolitan Police Range Office chief in  Kathmandu, said in April that Nepali police were simply performing  their duties when assaulted by the Tibetans. 
    Tibetan separatists have staged frequent anti-China protests in  Kathmandu since mid-March. The activities often turned ugly,  leading to disruptions of city traffic and clashes with police  which injured Nepali policemen. 
    Chinese Ambassador Zheng Xianglin said last month that there  were criminal acts of beating and smashing by Tibetan separatists  in Kathmandu against other Tibetans who either refused to take  part in anti-China activities or held different positions from the  separatists.  
Load-Date: July 20, 2008
End of Document"
"3102",20042023,"Title: Nepal , India to step up border security.rtf; Date: September 28, 2004, Tuesday; Text: Text of report by Nepalese Kantipuronline.com web site on 28 September
 Kathmandu, Tuesday 28 September: Security officials of Nepal and India have agreed to work together in a bid to control illegal business and terrorist activities along the Indo-Nepal border.
 The decision was made in a meeting held between the security officials of both the countries at Bathanaha in India Monday.
Kantipuronline.com web site, Kathmandu, in English 28 Sep 04As per the agreement, Indian security officials will look after 14 entry points while Nepali security will inspect on seven entry points.
 One of the participants of the meeting from Nepal, Deputy Inspector-General (DIG) of eastern region Krishna Basnet, said: ""The security will be consolidated where there is minimal presence of security forces along the border.""
 Basnet added that Indian security officials are to establish security units along 14 new entry points while Nepali officials will look after the rest of the entry points along the 300 km border section that stretches from Jayanagar of Dhanusha District to Galgariya of Jhapa i.e. across six districts in southeastern Nepal .
Load-Date: September 28, 2004
End of Document"
