"","doc_id_number","text"
"3181",20041056,"Title: Nepal says diplomatic efforts under way to free Iraq hostages.rtf; Date: August 24, 2004, Tuesday; Text: Excerpt from report by Radio Nepal on 24 August
 Diplomatic efforts are on to get the 13 Nepalese hostages in Iraq freed, according to the state minister for foreign affairs, Prakash Sharan Mahat. Speaking at a Reporters' Club interaction in Kathmandu today, he said that the government would do its utmost to provide security for its citizens.
Radio Nepal, Kathmandu, in Nepali 1315 gmt 24 Aug 04No demands or cause of the abductions have been forthcoming to the Nepalese government so far from any quarter, he said.
 Nine of hostages were sent to Jordan by the Moonlight foreign employment agency and investigations were under way about how they reached Iraq, K.B. Rana of the agency said.
 Leader of Communist Party of Nepal (Unified Marxist-Leninist) Jhalanath Khanal and Nepali Congress leader Ram Sharan Mahat said that a large number of Nepalese had already entered Iraq through Kuwait and Jordan and that the government should make arrangements for their security so that additional problems do not arise.
 passage omitted names and addresses of hostages
Load-Date: August 24, 2004
End of Document"
"1706",2004204,"Title: Pan-Arab TV daily note 0900-1700 gmt 1 Sep 04.rtf; Date: September 1, 2004, Wednesday; Text: Comparative note for TV channels Al-Jazeera, Al-Arabiya, Al-Alam and Al-Iraqiyah on 31 August
 The hostage-taking in North Ossetia school topped the bulletins of Al-Jazeera, Al-Arabiya and Al-Alam throughout the day. Other stories that featured regularly include the first meeting of the newly appointed Iraqi National Assembly, foreign hostages in Iraq and demonstrations in Kathmandu, Nepal, against the killing of nationals in Iraq. The three channels also covered, albeit with less focus, the story of Iraqi politician Al-Chalabi escaping attempt on his life, the arrest of a high-ranking member of Al-Qa'idah in Pakistan, Taleban attack of US base in southern Afghanistan, the killing of Iraqi in Musol attack and the US Republican convention held in New York.
:as listed
The long coverage of the events in North Ossetia by the three channels was factual and neutral in tone. They all showed almost similar footage from the scene. They also went over yesterday's Moscow attack, and recalled the crash of the two Russian passenger planes, highlighting the possibility of Chechenyan involvement. The three channels carried lengthy live relays by their correspondents and interviewed analysts. Al-Jazeera spoke to a Russian fluent Arabic speaking analyst from Moscow and to a Chechnyan academic from Jordan. They both stressed the Chechnyan presidential elections as possible motivation for the attacks.
 The issue of hostages in Iraq also featured consistently throughout. Al-Arabiya, in particular, devoted ample air time to it and opened a number of its bulletins with related latest developments. It also broke the story of the release of seven hostages by the Black Flags groups and covered it live, as well as the release of a Turkish hostage and the kidnapping of a Jordanian in Iraq. But of all three, Al-Alam was the only one to show part of the video of the gruesome execution of the 12 Nepalese. As for Al-Jazeera, it carried a lengthy interview with French Foreign Minister Barnier. It is worth noting that the interviewer's questions sounded like prompters to the minister to stress the pro-Arab French foreign policy and appeal for the release of the two French journalists.
 The coverage of the first meeting of the Iraqi National Assembly was factual and neutral by the three channels. However, Al-Arabiya carried live the news conference of the newly elected speaker, while the Iraqi station Al-Iraqiyah showed live part of the morning's proceedings.
 Coverage of follow-up to yesterday's attacks in Beersheba featured on Al-Alam and Al-Arabiya. Speaking on Israeli reaction, Al-Alam's reporter said: ""The Jewish state vowed to continue the building of the racist separation wall"". Both channels showed a demonstration by Hamas in Gaza, celebrating the two attacks.
 Some channels had exclusive coverage of some stories, such as:
 Fire in oil pipeline in northern Iraq by Al-Alam
 Hikmatyar's call for the boycott of Afghan presidential elections, and north Korean seeking political asylum in a Japanese school in Beijing, by Al-Jazeera
 Rally in Lebanon marking anniversary of disappearance of Shi'a leader Musa al-Sadr, by Al-Arabiya. Clip of Lebanese Parliament Speaker Nabih Berri attacking ""the Libyan criminal regime"" was shown repeatedly.
 In its 1600 gmt main bulletin, Al-Iraqiyah focused mainly on domestic issues: The opening session of the Iraqi National Assembly; Allawi condemning the attack on Al-Chalabi; youth centre; computer training in Basra; water treatment station.
Load-Date: September 1, 2004
End of Document"
"6291",20073415,"Title: Police confirm high explosives used in Nepal capital blasts.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: September 6, 2007 Thursday
Text of report by Nepalese newspaper The Himalayan Times website on 6 September
Kathmandu, [Thursday] 6 September: Nepal Police today claimed improvised explosive device was used in Sunday's triple blasts which rocked Kathmandu.
Publicizing a preliminary investigation report, probe panel chief of Nepal Police AIG Keshab Baral said that the improvised explosive device (IED) was used to carry out blasts in all places. According to him, IED contains at least 1.5 kg of high explosive gelatine with commercial dynamite.
""Attackers also used an electric detonator, 1.5 mm metallic container and time delay switch system for the explosion"", report said.
AIG Baral declined to furnish details about the arrest after the blasts. He said that further investigations were under way. ""It was a planned attack by the elements who were against of CA [constituent assembly] polls"", he said. Police also released a sketch of the suspect.
Three persons were killed and 25 others injured when bombs went off in Sundhara, Tripureshwor and Balaju.
Source: The Himalayan Times website, Kathmandu, in English 6 Sep 07
Load-Date: September 6, 2007
End of Document"
"6195",20072034,"Title: Nepal Maoists detain six forestry officials.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: January 14, 2007 Sunday
Excerpt from report by Nepalese daily newspaper Rajdhani on 14 January, by Dirgha Raj Upadhyay
Dhangadhi [far-west Nepal], 13 January [Saturday]: Maoists have detained a group of forestry officials, including the regional forest director. The team had visited a community forest to investigate timber smuggling.
The team of foresters had visited the Sunpat community forest located near the Maoist camp after getting the information that khayar trees were being smuggled by a company that had won a contract to collect timber. [passage omitted]
The Maoists detained them when they were returning after investigations on Saturday [13 January]. The Maoists claim they took the forest officials under their control because they were involved in smuggling timber.
Kailali district Maoist chief Paras Mani said the forestry officials were stopped at the request of the local people. The rebels said they had received complaints about involvement of forestry officials in timber smuggling. They admitted that six forest officials were in their control and they would be freed after necessary questioning.
With the permission of the district forest office, the Sunpat community forest had granted permission to local man Binod K.C. to collect and sell fallen and old trees in the community forest.
The valuable khayar trees were reportedly being smuggled from the forest. The security agency in the district was not able to take any action in the absence of solid evidence.
Source: Rajdhani, Kathmandu, in Nepali 14 Jan 07 p1
Load-Date: January 14, 2007
End of Document"
"4174",20053094,"Title: Nepal army chief brands Maoist truce a ploy.rtf; Date: December 6, 2005 Tuesday 10:29 AM GMT; Text: Nepal's army chief Tuesday accused Maoist rebels of continued attacks, abductions and killings despite announcing a unilateral ceasefire.
General Pyar Jung Thapa said the military was determined to crush the insurgency, dismissing their four-month-old ceasefire as ""crooked tricks"" and a ""ploy.""
""The Maoists have abducted over 8,000 civilians, forcibly recruited children, tormented and displaced army families and extorted money during the so-called truce,"" a military statement released on Tuesday quoted Thapa telling troops in eastern Nepal Monday.
On Friday, Nepal's insurgent Maoists extended a three-month unilateral ceasefire by one month, a move welcomed by the United Nations and the European Union.
Human rights groups accuse both the Maoists and the Royal Nepalese Army of abuses that include torture.
The Maoists and seven mainstream opposition parties agreed last month to form an anti-royal alliance to restore democracy in the troubled Himalayan kingdom. Nepalese King Gyanendra fired a civilian government and seized power on February 1 ostensibly to end the deadly Maoist revolt.
The rebels and opposition parties set out a 12-point plan and called for an end to fighting and for elections to be held under UN auspices.
The rebels have been fighting for a communist republic since 1996 and the uprising has so far claimed more than 12,000 lives.
Load-Date: December 7, 2005
End of Document"
"7492",20112404,"Title: Pakistan _ India and Pakistan _ retrospect and prospect.rtf; Date: January 15, 2011 Saturday; Text: KARACHI, Jan. 15 -- Mani Shankar Aiyar, an MP of Indian Rajya Sabha and former Consul-General of India had delivered a lecture to Karachi Council of Foreign Relations on 'India and Pakistan: Retrospect and prospect' a few days ago.
Following is second part of the text of his address - Part-I was published on Thursday - in which he has described his personal experience while living in Pakistan as an Indian official and also highlighted relations between India and Pakistan:
""Yet, there are several levels at which this argument breaks down. First, the Indian Muslim community: are they not living in harmony with their Hindu brethren? If there were no compatibility, how is it that almost every icon of India's 85% Hindu youth is unabashedly Muslim: the four Khans - superstars Shah Rukh, Aamir, Salman, and Saif; leading ladies like Katrina Kaif following Madhubala, Meena Kumari and Nargis of yore and Waheeda Rahman and Shabana Azmi more recently; the golden voice of Mohd Rafi and Talat Mehmood; the lyrics of Sahir Ludhianvi and Javed Akhtar; music director AR Rahman (who was born Dilip Kumar and converted to Islam, where his renowned predecessor in the run-up to partition, Dilip Kumar, the actor, was born Yusuf Khan in Peshawar and converted to Bollywood under an assumed Hindu name); the makers of Peepli Live, Mehmood Farooqui and Anusha Rizvi, India's sure-fire entry for this year's Oscars; ustads such as Bismillah Khan, Vilayat Khan, Bade Ghulam Ali Khan, Amjad Ali Khan and tabla maestros, Allah Rakha and Zakir Hussain; cricketers like Tiger Pataudi and Azharuddin, and tennis star, Sania Mirza, whom we share, besides a whole galaxy of highly influential opinion-makers of whom I need mention only three - the Group Editor of the India Today stable, MJ Akbar; columnist Saeed Naqvi; and historian Mushirul Hassan, Director of the National Archives - and business barons, Aziz Premji and Anu Agha. The point needs no labouring.""
Except that the Justice Rajinder Sachar report will immediately be thrown at those who suggest that the lived experience of secular India shows no incompatibility between the two alleged 'nations' of Hindu and Muslim. Yes, indeed, in many, many respects the denizens of the Muslim community are worse off than their non-Muslim counterparts in northern India. Equally undeniable is that while the North Indian Muslim elite largely took off for Pakistan at partition, the vast majority of the ordinary Muslims voted with their feet to remain where they were. Deprived of a middle-class and a political leadership, the community has striven to raise itself by its boot-straps and while there are success stories there is much leeway to be made up. This points to the need for more affirmative action; it emphatically does not mean that Hindu and Muslim cannot live under one national roof.
Moreover, it needs to be recognised - in Pakistan, of course, but much more in India - that where population transfer did not take place, as in South India, the Muslim community is doing quite exceptionally well - and is not resented by the majority community for doing so.
I do not want to make a polemical point. I simply want to assert here on Pakistani soil that whatever might have been the argument for a Muslim-majority State on this South Asian sub-continent at the time of independence and partition, now that Pakistan has been in existence for sixty years and more, the generic argument for Hindu-Muslim incompatibility has lost its sheen and transmuted more into national hostility than communal animosity.""
""In this context, I'd like to share a story with you about what happened when I addressed a Jang Forum meeting in Karachi a few years ago. I was asked from the audience how I could claim to be a friend of Pakistan when I rejected the Two-Nation theory. I replied that whatever the merits of the theory in the period leading up to independence and partition, it was time now to recognise that the Two-Nation Theory had given way to the Three-State Reality, and that if we continued to advocate the Two Nation Theory, it would have to mean that the 15 crore Muslims in India are traitors to their country. At this, the questioner, delighted with my answer, bounded on to the stage, embraced me, and handing over a visiting card describing him as the Vice Chairman of the Karachi Marriage Hall Owners Association, whispered in my ear that when I got married again, he promised me a marriage hall for free! That, I regard, as the highest compliment I have ever received. My wife, however, disapproves - I wonder why?
Reciprocally, it is little known in India, and little bruited about in Pakistan, how many members of Pakistan's non-Muslim minorities hold positions of distinction and responsibility in Pakistan, not only in the higher echelons but in the grassroots institutions of local government, in the civil services, in the judiciary, in agriculture, in business and the arts. Partition over, as the Quaid-i-Azam said before Pakistan "
"1145",20033146,"Title: Demonstrators gather in Kathmandu for anti-king rally.rtf; Date: May 4, 2003 Sunday; Text: Thousands of demonstrators began gathering Sunday in Nepal's capital Kathmandu for a planned rally against the king organised by the countries five main political parties, police and witnesses said.
Police were posted on most streets as organisers said they were expecting up to 300,000 people to join the rally at the Open Theatre in the city.
They are protesting the king's sacking of the elected prime minister on October 4. Gyanendra took power for a week before appointing a royalist interim government and also indefinitely postponed a general election.
The political parties say that the current government does not have a mandate to negotiate with Maoist rebels.
Talks between the government and the rebels opened Sunday after a ceasefire was announced in January following seven years of insurgency that have cost 7,800 lives.
The rally is being organised jointly by the Nepali Congress (NC), the Nepal Communist Party-United Marxist and Leninists (NCP-UML), the Nepal Peasants and Workers' Party (NPWP), People's Front-Nepal (PF-N) and the Nepal Goodwill Party (NGP).
""The government is liberal and will respect the rights of the opposition parties to demonstrate and voice their grievances, but it should be peaceful,"" said Minster for Information and General Administration Ramesh Nath Pandey.
kms/an/hw
Nepal-politics
Load-Date: May 5, 2003
End of Document"
"1157",20032177,"Title: Nepal 's Maoists announce nine-day ceasefire for Hindu festival.rtf; Date: September 26, 2003 Friday; Text: Maoist rebels fighting a ""people's war"" in Nepal Friday announced a nine-day unilateral ceasefire starting October 2 to mark the important Hindu festival Dasain.
In a statement released here, Maoist chairman Pushpa Kamal Dahal warned, however, that should the Nepalese security forces launch attacks on rebels or their camps, the Maoists would strike back.
""We have declared this ceasefire at the call of civil society and human rights activities to allow people to observe the festival,"" he said.
""If the army starts attacking our units or our camps during this ceasefire, we have instructed our cadres and commanders to riposte the attack,"" said the chairman.
ss/bp/mmc
Nepal-Maoists-ceasefire
Load-Date: September 27, 2003
End of Document"
"574",2003376,"Title: BBC Monitoring Weekly Prospects (Asia and Pacific) for 3 - 14 December 2003.rtf; Date: December 2, 2003, Tuesday; Text: Queries? Ring Duty Editor, ASIA AND PACIFIC, on 86254 (internal) or 0118-9486254 (external)
 1 - 5 Dec
 CHINA: Argentine Foreign Minister Rafael Bielsa visits at head of business delegation. He will be in Shanghai on 4 and 5 December (Argentine newspaper Clarin)
 1 - 4
 CHINA: German Chancellor Gerhard Schroeder visits at the head of a large business delegation; focus of trip is development of economic relations (Chinese news agency Xinhua)
 1 - 5
 NEW ZEALAND: Global conference takes place on deep sea fisheries, entitled ""Backing for Deep Sea 2003"" (South Atlantic news agency MercoPress e-mail)
 1 - 5
 CHINA: East Asia Mayors Forum held in Yunnan Province under the theme of ""East Asia cities - cooperation and development"" (Chinese news agency Xinhua)
 1 - 5
 MALAYSIA: Steering Group Meeting and Fourth Regional Conference on the Anti-Corruption Action Plan for Asia Pacific takes place in Kuala Lumpur (Chinese news agency Xinhua)
 2 - 3
 NEPAL/CHINA: The chairman of the Chinese People's Political Consultative Conference, Jia Qinglin, visits Nepal. During the visit, two agreements on economic and technical cooperation and on the opening of trading posts are expected to be signed (Nepali newspaper The Rising Nepal)
 2 - 4
 CHINA: Hong Kong Chief Executive Tung Chee-hwa visits Beijing to meet central government leaders and discuss the latest developments in Hong Kong (Chinese news agency Xinhua)
 2 - 5
 CHINA: The 12th China international maritime technology symposium and expo takes place with business people from 28 countries attending (Chinese news agency Xinhua)
 2 - 5
 NORTH AND SOUTH KOREA: The two Koreas hold working-level talks on the reconnection of cross-border railways and roads.
Asian and Pacific weekly prospects from BBC Monitoring in English 2 Dec 03The talks take place in Sokcho, Kangwon Province, some 365 km east of Seoul. The delegations are expected to discuss technical issues in completing a set of railways and adjacent roads across eastern and western sections of the heavily fortified border (South Korean news agency Yonhap)
 2 - 19
 BURMA: Amnesty International delegation visits. Among the subjects the delegation will discuss with the Burmese government are the human rights situation, prisoners of conscience, and the administration of justice. (Irrawaddy web site)
 3
 INDIA: State assembly elections polling takes place again in Chhattisgarh, Madhya Pradesh and Rajasthan, where polling had been disrupted (Indian news agency PTI)
 3 - 5
 SOUTH KOREA: International conference on disarmament takes place on Cheju island. Participants will discuss the regional security situation, the Korean Peninsula, missiles and terrorism (South Korean news agency Yonhap)
 3 - 6
 CHINA/SLOVENIA: Slovene Prime Minister Anton Rop pays official visit at the invitation of Premier Wen Jiabao (Chinese news agency Xinhua)
 3 - 7
 PAKISTAN/CHINA: The chairman of the Chinese People's Political Consultative Conference (CPPCC), Jia Qinglin, visits (Associated Press of Pakistan news agency)
 3 - 7
 CHINA/OMAN: The Omani minister responsible for foreign affairs, Yusuf Bin-Alawi Bin-Abdallah, pays official visit (Chinese news agency Xinhua)
 3 - 8
 JAPAN/MONGOLIA: Mongolian President Natsagiyn Bagabandi visits (Mongolian E-Mail Daily news service)
 4
 PAPUA NEW GUINEA: Parliament elects a new governor-general (Papua New Guinea newspaper The National)
 5 - ?
 PAKISTAN-INDIA/EU: Fifteen-member EU delegation visits Kashmir to attempt to play a role in the resolution of the Kashmir dispute.  The delegation will first visit Muzaffarabad on 5 December and will later visit Srinagar (Pakistani newspaper The News)
 6 - (?9)
 KOREAS/INDONESIA: Nana Sutresna, a special envoy of Indonesian President Megawati, visits North and South Korea for discussions on North Korea's nuclear arms programme. Nana Sutresna will visit Seoul (6) before travelling to Pyongyang via Beijing (9). He will express Indonesia's concerns over the nuclear weapons issue and urge all concerned parties to support the next round of six-party talks on North Korea's nuclear programme (Japanese news agency Kyodo)
 7 - 8
 INDONESIA/AUSTRALIA: Indonesian Foreign Minister Hassan Wirajuda meets Australian Foreign Minister Alexander Downer in Jakarta to discuss preparations for a regional meeting on combating terrorism (Indonesian web site Tempo Interaktif)
 7 - 9
 NEPAL: All Nepal National Independent Students' Union (Revolutionary) (Maoist student wing) holds general strike in the east on 9 December following the closure of all education institutions and educational offices in the east on 7 and 8 December. They are protesting against ""the killing, suppression, arrests and fascist activities by the old regime"" and over educational problems (Nepalese Maoists' Krishna Sen news agency)
 8 - 11
 SOUTH KOREA/ALGERIA: Algerian President Abdelaziz Bouteflika pays four-day visit during which he will hold summit talks with President Roh Moo"
"3492",20053931,"Title: Two Maoists killed in clash with Nepalese villagers.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: September 5, 2005, Monday
 Text of report by Nepalese Kantipuronline.com website on 5 September
 Kathmandu, 5 September: At least two Maoist impostors, who had been extorting money from villagers, were killed in a clash between a group of armed impostors and the villagers at Olani area of Godavari VDC [village development committee ], Kailali District, Saturday [3 September] night.
 The clash took place when the villagers attempted to retaliate against a group of 15 to 20 Maoist impostors who had forced their way into the residence of Jaya Bahadur Singh at Ward number five, Godavari VDC to extort money from him.
Kantipuronline.com website, Kathmandu, in English 5 Sep 05
According to the district police office, the impostors killed in the clash were identified as 25 years old Mohan Singh Kami of Shreepur VDC-4 and 21 years old Suraj Bista of Malakheti VDC. The villagers also captured six other impostors and handed them over to the police.
Load-Date: September 5, 2005
End of Document"
